id,nombre,apellido,departamento,salario,fecha_contratacion,email,activo
114,María,García,IT,64790,2025-09-27,maría.garcía114@empresa.com,False
115,Carlos,Pérez,Marketing,58314,2020-02-25,carlos.pérez115@empresa.com,False
116,Carlos,Ruiz,IT,50274,2020-07-27,carlos.ruiz116@empresa.com,True
117,Ana,Ruiz,Logística,62197,2020-03-26,ana.ruiz117@empresa.com,False
118,Juan,Morales,Finanzas,48371,2019-03-30,juan.morales118@empresa.com,True
119,Carlos,Martínez,Finanzas,63725,2019-05-26,carlos.martínez119@empresa.com,True
120,Sara,Sánchez,RRHH,41448,2015-12-16,sara.sánchez120@empresa.com,False
121,Luis,Gómez,IT,32367,2022-03-17,luis.gómez121@empresa.com,False
122,Ana,Ruiz,RRHH,61205,2016-10-04,ana.ruiz122@empresa.com,False
123,Carlos,Díaz,Logística,51221,2020-09-30,carlos.díaz123@empresa.com,True
124,Juan,López,Finanzas,52947,2017-02-08,juan.lópez124@empresa.com,False
125,Elena,Ruiz,Finanzas,59441,2024-10-01,elena.ruiz125@empresa.com,False
126,Pablo,López,IT,62170,2017-10-06,pablo.lópez126@empresa.com,False
127,Pablo,Ruiz,Producción,42302,2023-12-11,pablo.ruiz127@empresa.com,False
128,Sara,Ruiz,Logística,48641,2017-03-31,sara.ruiz128@empresa.com,True
129,Laura,Morales,Finanzas,28455,2023-11-05,laura.morales129@empresa.com,False
130,Pablo,López,Logística,22347,2019-07-29,pablo.lópez130@empresa.com,False
131,Elena,Pérez,Producción,60018,2025-01-07,elena.pérez131@empresa.com,True
132,María,Morales,RRHH,19778,2018-09-13,maría.morales132@empresa.com,True
133,María,Pérez,Marketing,32536,2025-02-15,maría.pérez133@empresa.com,False
134,Jorge,Morales,Finanzas,58033,2025-07-16,jorge.morales134@empresa.com,True
135,Pablo,García,Marketing,35958,2018-06-09,pablo.garcía135@empresa.com,False
136,Jorge,Morales,Logística,34095,2021-07-29,jorge.morales136@empresa.com,False
137,Luis,Fernández,RRHH,44728,2017-04-15,luis.fernández137@empresa.com,False
138,María,Díaz,Ventas,30383,2023-10-07,maría.díaz138@empresa.com,False
139,Carlos,Pérez,RRHH,51211,2023-04-07,carlos.pérez139@empresa.com,True
140,Sara,Ruiz,Producción,52255,2017-06-07,sara.ruiz140@empresa.com,False
141,Sara,Fernández,RRHH,29050,2020-04-24,sara.fernández141@empresa.com,True
142,Sara,Ruiz,Logística,30426,2019-12-22,sara.ruiz142@empresa.com,True
143,Luis,Pérez,Finanzas,41145,2021-11-07,luis.pérez143@empresa.com,True
144,María,Fernández,Finanzas,45923,2017-01-06,maría.fernández144@empresa.com,True
145,María,Martínez,IT,31307,2018-12-16,maría.martínez145@empresa.com,False
146,Jorge,Ruiz,Finanzas,41666,2021-05-11,jorge.ruiz146@empresa.com,True
147,Juan,Gómez,IT,39350,2018-09-20,juan.gómez147@empresa.com,False
148,Juan,Fernández,RRHH,20778,2021-10-04,juan.fernández148@empresa.com,True
149,Sara,Fernández,Marketing,38585,2018-05-28,sara.fernández149@empresa.com,False
150,Elena,Pérez,Finanzas,48175,2023-09-14,elena.pérez150@empresa.com,False
151,Ana,Martínez,Logística,26109,2018-02-11,ana.martínez151@empresa.com,False
152,Pablo,Gómez,RRHH,24421,2023-08-26,pablo.gómez152@empresa.com,True
153,Jorge,Díaz,Producción,60897,2021-02-23,jorge.díaz153@empresa.com,False
154,Ana,Pérez,Finanzas,38009,2019-01-29,ana.pérez154@empresa.com,False
155,Jorge,Gómez,IT,29038,2018-02-04,jorge.gómez155@empresa.com,True
156,Ana,Pérez,Ventas,34045,2018-03-17,ana.pérez156@empresa.com,True
157,Elena,Pérez,Finanzas,53269,2020-02-19,elena.pérez157@empresa.com,False
158,Luis,López,Producción,49379,2021-08-01,luis.lópez158@empresa.com,False
159,Jorge,Sánchez,RRHH,37488,2022-12-27,jorge.sánchez159@empresa.com,True
160,Pablo,Martínez,Logística,23873,2017-01-08,pablo.martínez160@empresa.com,True
161,Pablo,Ruiz,Ventas,57254,2018-01-03,pablo.ruiz161@empresa.com,False
162,Elena,Morales,Ventas,52522,2017-06-06,elena.morales162@empresa.com,True
163,Jorge,Pérez,Ventas,25214,2023-05-17,jorge.pérez163@empresa.com,True
164,Laura,Martínez,Ventas,28559,2025-03-16,laura.martínez164@empresa.com,False
165,Juan,Ruiz,Marketing,54956,2020-09-18,juan.ruiz165@empresa.com,False
166,Jorge,López,Marketing,54403,2025-12-06,jorge.lópez166@empresa.com,False
167,María,Martínez,Producción,34419,2024-08-13,maría.martínez167@empresa.com,False
168,Jorge,Díaz,Logística,52559,2021-05-20,jorge.díaz168@empresa.com,True
169,Pablo,Morales,Producción,47159,2019-11-16,pablo.morales169@empresa.com,False
170,Elena,García,Ventas,19527,2017-03-05,elena.garcía170@empresa.com,False
171,Elena,Martínez,Ventas,37760,2022-10-23,elena.martínez171@empresa.com,False
172,Ana,Morales,Ventas,62820,2023-05-01,ana.morales172@empresa.com,False
173,Luis,Díaz,Finanzas,36910,2022-05-23,luis.díaz173@empresa.com,False
174,Juan,García,IT,44435,2023-06-23,juan.garcía174@empresa.com,False
175,Ana,Sánchez,Producción,63040,2021-09-04,ana.sánchez175@empresa.com,True
176,Juan,Ruiz,Logística,38990,2020-05-18,juan.ruiz176@empresa.com,False
177,Pablo,Díaz,RRHH,49235,2023-08-06,pablo.díaz177@empresa.com,False
178,Luis,Pérez,RRHH,43438,2020-09-12,luis.pérez178@empresa.com,True
179,Pablo,López,Logística,46432,2019-02-01,pablo.lópez179@empresa.com,True
180,Pablo,López,Ventas,63564,2020-02-21,pablo.lópez180@empresa.com,False
181,Jorge,Pérez,Producción,25215,2019-02-27,jorge.pérez181@empresa.com,True
182,Ana,López,Producción,41861,2017-10-06,ana.lópez182@empresa.com,False
183,Pablo,Martínez,Producción,54670,2021-02-25,pablo.martínez183@empresa.com,False
184,Elena,Ruiz,Logística,29349,2023-03-04,elena.ruiz184@empresa.com,True
185,María,Gómez,IT,24883,2023-01-05,maría.gómez185@empresa.com,True
186,Luis,Martínez,Marketing,64268,2021-09-25,luis.martínez186@empresa.com,False
187,Carlos,Gómez,Producción,24820,2021-08-17,carlos.gómez187@empresa.com,True
188,Ana,Martínez,Producción,51471,2025-07-21,ana.martínez188@empresa.com,True
189,Jorge,Morales,Logística,27176,2016-07-30,jorge.morales189@empresa.com,True
190,María,Díaz,RRHH,34608,2025-01-07,maría.díaz190@empresa.com,False
191,Pablo,Ruiz,RRHH,25086,2017-07-15,pablo.ruiz191@empresa.com,False
192,Elena,Morales,Marketing,63617,2024-11-09,elena.morales192@empresa.com,False
193,Laura,Martínez,IT,57483,2019-10-21,laura.martínez193@empresa.com,True
194,Pablo,Díaz,Ventas,20652,2024-09-22,pablo.díaz194@empresa.com,True
195,Laura,Díaz,Logística,40481,2020-09-19,laura.díaz195@empresa.com,False
196,María,Díaz,IT,42638,2023-07-10,maría.díaz196@empresa.com,True
197,Ana,Morales,Finanzas,33099,2017-07-26,ana.morales197@empresa.com,True
198,Luis,Martínez,Marketing,52752,2021-05-18,luis.martínez198@empresa.com,True
199,María,Morales,Marketing,38011,2015-12-15,maría.morales199@empresa.com,True
200,Pablo,López,Finanzas,42883,2021-07-15,pablo.lópez200@empresa.com,True
201,Ana,Gómez,IT,51792,2018-07-16,ana.gómez201@empresa.com,False
202,Elena,Martínez,Producción,57791,2020-06-22,elena.martínez202@empresa.com,False
203,Laura,García,Logística,44841,2018-10-11,laura.garcía203@empresa.com,True
204,Jorge,López,Producción,25917,2023-08-18,jorge.lópez204@empresa.com,False
205,María,Morales,RRHH,45063,2017-12-23,maría.morales205@empresa.com,False
206,Sara,Sánchez,RRHH,26612,2018-01-14,sara.sánchez206@empresa.com,True
207,Pablo,Sánchez,Finanzas,62846,2018-11-21,pablo.sánchez207@empresa.com,True
208,Pablo,García,Finanzas,23125,2021-01-24,pablo.garcía208@empresa.com,False
209,María,Martínez,Logística,57081,2021-08-12,maría.martínez209@empresa.com,False
210,Laura,Pérez,RRHH,44641,2024-01-26,laura.pérez210@empresa.com,True
211,Pablo,Martínez,RRHH,26467,2020-03-23,pablo.martínez211@empresa.com,False
212,Pablo,López,RRHH,62658,2025-04-23,pablo.lópez212@empresa.com,False
213,María,Morales,Producción,34578,2021-11-16,maría.morales213@empresa.com,True
214,Jorge,Gómez,Logística,28644,2024-07-15,jorge.gómez214@empresa.com,False
215,Elena,Sánchez,Ventas,59466,2020-03-05,elena.sánchez215@empresa.com,False
216,María,Gómez,RRHH,28595,2017-11-25,maría.gómez216@empresa.com,True
217,Sara,Ruiz,Logística,22981,2017-12-26,sara.ruiz217@empresa.com,True
218,Laura,Ruiz,Ventas,37169,2018-07-10,laura.ruiz218@empresa.com,True
219,Laura,López,RRHH,57571,2020-01-06,laura.lópez219@empresa.com,True
220,Laura,Fernández,Logística,25966,2017-08-10,laura.fernández220@empresa.com,True
221,Jorge,García,Ventas,45674,2021-07-31,jorge.garcía221@empresa.com,True
222,Jorge,García,Ventas,40602,2020-11-04,jorge.garcía222@empresa.com,False
223,Elena,López,Logística,24323,2022-10-17,elena.lópez223@empresa.com,True
224,María,Fernández,Logística,36891,2016-10-27,maría.fernández224@empresa.com,False
225,Luis,Morales,Marketing,46209,2023-11-08,luis.morales225@empresa.com,False
226,Carlos,Gómez,Logística,43023,2017-08-16,carlos.gómez226@empresa.com,True
227,Luis,Morales,Finanzas,46949,2020-03-26,luis.morales227@empresa.com,True
228,María,Morales,Marketing,30679,2016-09-05,maría.morales228@empresa.com,True
229,Pablo,Morales,Producción,32529,2016-02-06,pablo.morales229@empresa.com,False
230,Laura,Díaz,Finanzas,41857,2025-11-17,laura.díaz230@empresa.com,False
231,Juan,García,IT,59790,2015-12-22,juan.garcía231@empresa.com,True
232,Jorge,Sánchez,Producción,49493,2018-03-27,jorge.sánchez232@empresa.com,True
233,Luis,Díaz,Finanzas,38740,2016-06-07,luis.díaz233@empresa.com,True
234,Carlos,Ruiz,Logística,48375,2019-09-23,carlos.ruiz234@empresa.com,True
235,Sara,Pérez,Marketing,38357,2020-09-23,sara.pérez235@empresa.com,False
236,Ana,Martínez,Finanzas,47774,2025-10-16,ana.martínez236@empresa.com,False
237,Ana,Pérez,Finanzas,50634,2023-12-13,ana.pérez237@empresa.com,True
238,Ana,López,Marketing,22344,2017-08-25,ana.lópez238@empresa.com,True
239,María,Morales,Logística,25373,2022-07-22,maría.morales239@empresa.com,True
240,Sara,Morales,Finanzas,31374,2020-08-13,sara.morales240@empresa.com,False
241,Carlos,Martínez,RRHH,62674,2021-02-05,carlos.martínez241@empresa.com,False
242,Sara,Sánchez,Producción,27676,2025-05-26,sara.sánchez242@empresa.com,False
243,Ana,García,RRHH,21178,2021-11-03,ana.garcía243@empresa.com,False
244,Laura,Morales,Finanzas,53761,2019-09-29,laura.morales244@empresa.com,False
245,Pablo,Díaz,Marketing,28369,2022-04-26,pablo.díaz245@empresa.com,True
246,Luis,López,Producción,20235,2017-01-08,luis.lópez246@empresa.com,False
247,Sara,Ruiz,Finanzas,42170,2020-10-30,sara.ruiz247@empresa.com,False
248,Luis,Gómez,IT,47662,2021-01-29,luis.gómez248@empresa.com,False
249,Sara,Morales,IT,36402,2019-12-12,sara.morales249@empresa.com,True
250,María,Ruiz,Ventas,18855,2023-10-29,maría.ruiz250@empresa.com,True
251,Laura,López,Logística,40994,2020-02-02,laura.lópez251@empresa.com,False
252,Luis,Martínez,Producción,46283,2019-09-20,luis.martínez252@empresa.com,True
253,Luis,López,RRHH,19004,2020-11-09,luis.lópez253@empresa.com,True
254,Ana,Fernández,IT,22370,2018-09-29,ana.fernández254@empresa.com,False
255,Laura,Gómez,Finanzas,53132,2016-10-15,laura.gómez255@empresa.com,False
256,Carlos,Martínez,Logística,35160,2019-06-09,carlos.martínez256@empresa.com,False
257,Pablo,Morales,Ventas,30275,2022-08-09,pablo.morales257@empresa.com,False
258,Carlos,Ruiz,Marketing,56476,2025-07-14,carlos.ruiz258@empresa.com,True
259,Juan,Martínez,Ventas,24008,2019-07-20,juan.martínez259@empresa.com,False
260,Ana,López,Ventas,32349,2019-01-06,ana.lópez260@empresa.com,False
261,Elena,López,Marketing,33595,2025-08-09,elena.lópez261@empresa.com,False
262,Elena,Morales,Producción,26809,2024-02-20,elena.morales262@empresa.com,False
263,Ana,García,RRHH,23480,2025-03-03,ana.garcía263@empresa.com,True
264,Ana,Ruiz,RRHH,64339,2016-09-21,ana.ruiz264@empresa.com,True
265,Pablo,Gómez,Producción,28627,2022-08-29,pablo.gómez265@empresa.com,False
266,Ana,García,Finanzas,35638,2024-10-07,ana.garcía266@empresa.com,True
267,Luis,Gómez,Producción,23458,2017-03-28,luis.gómez267@empresa.com,True
268,Sara,Martínez,Finanzas,44585,2016-06-16,sara.martínez268@empresa.com,False
269,María,Fernández,Producción,20794,2019-06-13,maría.fernández269@empresa.com,False
270,Sara,López,Logística,21852,2019-10-21,sara.lópez270@empresa.com,True
271,Sara,Ruiz,IT,33051,2022-08-22,sara.ruiz271@empresa.com,False
272,Elena,García,Finanzas,54876,2019-07-24,elena.garcía272@empresa.com,True
273,María,Gómez,Marketing,36851,2023-10-20,maría.gómez273@empresa.com,True
274,Juan,Pérez,Ventas,22918,2022-08-26,juan.pérez274@empresa.com,True
275,Carlos,Martínez,Finanzas,63960,2025-05-20,carlos.martínez275@empresa.com,True
276,Laura,Morales,Marketing,22761,2017-05-26,laura.morales276@empresa.com,False
277,Carlos,Díaz,Producción,30962,2016-12-03,carlos.díaz277@empresa.com,True
278,Jorge,Gómez,Ventas,44930,2017-06-23,jorge.gómez278@empresa.com,False
279,María,Sánchez,Ventas,61124,2016-08-16,maría.sánchez279@empresa.com,False
280,Laura,Pérez,Logística,31822,2018-12-13,laura.pérez280@empresa.com,True
281,María,Pérez,Marketing,20027,2020-09-18,maría.pérez281@empresa.com,True
282,Ana,Pérez,Producción,51235,2016-08-29,ana.pérez282@empresa.com,True
283,Carlos,Pérez,Producción,53416,2019-03-10,carlos.pérez283@empresa.com,False
284,Laura,Pérez,RRHH,47384,2018-10-28,laura.pérez284@empresa.com,True
285,Carlos,Pérez,Marketing,62300,2025-03-16,carlos.pérez285@empresa.com,False
286,Jorge,Morales,RRHH,40767,2018-03-25,jorge.morales286@empresa.com,True
287,Jorge,López,RRHH,33335,2018-08-01,jorge.lópez287@empresa.com,False
288,Luis,Díaz,Marketing,24349,2019-01-16,luis.díaz288@empresa.com,True
289,Carlos,Martínez,Marketing,57206,2019-02-17,carlos.martínez289@empresa.com,True
290,Laura,Gómez,Logística,20788,2018-08-15,laura.gómez290@empresa.com,True
291,Jorge,Sánchez,IT,56939,2022-08-28,jorge.sánchez291@empresa.com,False
292,Laura,López,Producción,45651,2023-04-20,laura.lópez292@empresa.com,False
293,Juan,Pérez,Marketing,60075,2020-11-08,juan.pérez293@empresa.com,True
294,Jorge,López,Producción,30819,2023-03-18,jorge.lópez294@empresa.com,True
295,María,Fernández,IT,31430,2025-08-04,maría.fernández295@empresa.com,False
296,Luis,Pérez,RRHH,57162,2020-02-01,luis.pérez296@empresa.com,True
297,Elena,Fernández,Finanzas,55210,2018-09-10,elena.fernández297@empresa.com,False
298,Juan,Fernández,Producción,34435,2021-11-29,juan.fernández298@empresa.com,True
299,Luis,Martínez,Ventas,45855,2016-10-28,luis.martínez299@empresa.com,False
300,Sara,Díaz,RRHH,20921,2023-01-07,sara.díaz300@empresa.com,False
301,Jorge,Morales,IT,29487,2023-07-16,jorge.morales301@empresa.com,False
302,Laura,Sánchez,IT,62667,2017-06-28,laura.sánchez302@empresa.com,False
303,Elena,Ruiz,Logística,36623,2016-12-23,elena.ruiz303@empresa.com,False
304,Sara,Ruiz,Logística,29908,2025-06-10,sara.ruiz304@empresa.com,False
305,Pablo,López,Producción,28376,2017-02-22,pablo.lópez305@empresa.com,False
306,Luis,Fernández,RRHH,50090,2020-08-04,luis.fernández306@empresa.com,True
307,Sara,López,Marketing,52865,2022-08-15,sara.lópez307@empresa.com,False
308,Carlos,Pérez,Ventas,49360,2017-11-22,carlos.pérez308@empresa.com,False
309,Elena,Gómez,Logística,48018,2020-07-10,elena.gómez309@empresa.com,True
310,Ana,Ruiz,Finanzas,47722,2015-12-17,ana.ruiz310@empresa.com,True
311,Jorge,Sánchez,Marketing,42227,2022-01-08,jorge.sánchez311@empresa.com,False
312,Sara,Ruiz,Marketing,45443,2017-04-07,sara.ruiz312@empresa.com,True
313,Ana,García,IT,24260,2023-03-29,ana.garcía313@empresa.com,False
314,Juan,García,IT,49593,2020-07-05,juan.garcía314@empresa.com,True
315,Laura,Morales,RRHH,49062,2024-08-06,laura.morales315@empresa.com,True
316,Laura,Ruiz,Finanzas,50850,2024-10-06,laura.ruiz316@empresa.com,False
317,Laura,Fernández,Logística,46540,2019-01-02,laura.fernández317@empresa.com,True
318,Carlos,Morales,Marketing,19321,2022-10-28,carlos.morales318@empresa.com,True
319,Juan,Ruiz,Marketing,47098,2019-10-17,juan.ruiz319@empresa.com,False
320,Juan,Ruiz,Ventas,55119,2017-03-09,juan.ruiz320@empresa.com,False
321,Juan,Morales,RRHH,63869,2025-02-05,juan.morales321@empresa.com,False
322,Juan,Morales,Marketing,33375,2016-07-15,juan.morales322@empresa.com,False
323,Laura,Díaz,Producción,47117,2023-03-05,laura.díaz323@empresa.com,False
324,Elena,López,RRHH,57858,2021-01-11,elena.lópez324@empresa.com,False
325,María,Fernández,IT,53980,2021-12-21,maría.fernández325@empresa.com,False
326,Pablo,Pérez,Logística,34674,2025-03-12,pablo.pérez326@empresa.com,True
327,Pablo,Martínez,Logística,37028,2017-01-16,pablo.martínez327@empresa.com,True
328,Pablo,Gómez,Logística,19328,2024-06-06,pablo.gómez328@empresa.com,True
329,Luis,Díaz,Finanzas,26551,2020-04-08,luis.díaz329@empresa.com,True
330,Sara,Martínez,Ventas,39422,2024-07-20,sara.martínez330@empresa.com,True
331,Sara,Sánchez,RRHH,34506,2016-05-25,sara.sánchez331@empresa.com,True
332,Elena,López,Finanzas,34806,2020-08-20,elena.lópez332@empresa.com,True
333,Ana,Díaz,Ventas,22611,2023-05-25,ana.díaz333@empresa.com,True
334,Pablo,Pérez,RRHH,20137,2018-09-04,pablo.pérez334@empresa.com,True
335,Carlos,Pérez,Producción,50442,2024-06-12,carlos.pérez335@empresa.com,True
